,state,year,number_of_drinks_total
557,illinois,2007,507.7333333
558,illinois,2006,501.3333333
559,illinois,2005,488.5333333
560,illinois,2004,473.6
561,illinois,2003,503.4666667
562,illinois,2002,482.1333333
563,illinois,2001,486.4
588,indiana,2018,458.6666667
589,indiana,2017,450.1333333
590,indiana,2016,462.9333333
591,indiana,2015,456.5333333
592,indiana,2014,437.3333333
593,indiana,2013,445.8666667
594,indiana,2012,443.7333333
595,indiana,2011,430.9333333
596,indiana,2010,433.0666667
597,indiana,2009,437.3333333
598,indiana,2008,443.7333333
599,indiana,2007,445.8666667
600,indiana,2006,426.6666667
601,indiana,2005,428.8
602,indiana,2004,428.8
603,indiana,2003,418.1333333
604,indiana,2002,411.7333333
605,indiana,2001,418.1333333
630,iowa,2018,509.8666667
631,iowa,2017,512
632,iowa,2016,512
633,iowa,2015,503.4666667
634,iowa,2014,505.6
635,iowa,2013,499.2
636,iowa,2012,512
637,iowa,2011,505.6
638,iowa,2010,490.6666667
639,iowa,2009,492.8
640,iowa,2008,490.6666667
641,iowa,2007,480
642,iowa,2006,469.3333333
643,iowa,2005,460.8
644,iowa,2004,452.2666667
645,iowa,2003,441.6
646,iowa,2002,435.2
647,iowa,2001,424.5333333
672,kansas,2018,409.6
673,kansas,2017,422.4
674,kansas,2016,409.6
675,kansas,2015,407.4666667
676,kansas,2014,411.7333333
677,kansas,2013,401.0666667
678,kansas,2012,416
679,kansas,2011,405.3333333
680,kansas,2010,416
681,kansas,2009,424.5333333
682,kansas,2008,428.8
683,kansas,2007,418.1333333
684,kansas,2006,413.8666667
685,kansas,2005,403.2
686,kansas,2004,396.8
687,kansas,2003,403.2
688,kansas,2002,401.0666667
689,kansas,2001,384
714,kentucky,2018,416
715,kentucky,2017,420.2666667
716,kentucky,2016,422.4
717,kentucky,2015,420.2666667
718,kentucky,2014,401.0666667
719,kentucky,2013,394.6666667
720,kentucky,2012,398.9333333
721,kentucky,2011,381.8666667
722,kentucky,2010,390.4
723,kentucky,2009,394.6666667
724,kentucky,2008,394.6666667
725,kentucky,2007,394.6666667
726,kentucky,2006,388.2666667
727,kentucky,2005,384
728,kentucky,2004,386.1333333
729,kentucky,2003,373.3333333
730,kentucky,2002,377.6
731,kentucky,2001,347.7333333
756,louisiana,2018,544
757,louisiana,2017,548.2666667
758,louisiana,2016,552.5333333
759,louisiana,2015,552.5333333
760,louisiana,2014,552.5333333
761,louisiana,2013,552.5333333
762,louisiana,2012,552.5333333
763,louisiana,2011,548.2666667
764,louisiana,2010,544
765,louisiana,2009,561.0666667
766,louisiana,2008,563.2
767,louisiana,2007,567.4666667
768,louisiana,2006,561.0666667
769,louisiana,2005,514.1333333
770,louisiana,2004,503.4666667
771,louisiana,2003,507.7333333
772,louisiana,2002,482.1333333
773,louisiana,2001,514.1333333
798,maine,2018,608
799,maine,2017,608
800,maine,2016,599.4666667
801,maine,2015,593.0666667
802,maine,2014,578.1333333
803,maine,2013,573.8666667
804,maine,2012,565.3333333
805,maine,2011,554.6666667
806,maine,2010,546.1333333
807,maine,2009,544
808,maine,2008,546.1333333
809,maine,2007,548.2666667
810,maine,2006,541.8666667
811,maine,2005,537.6
812,maine,2004,520.5333333
813,maine,2003,509.8666667
814,maine,2002,497.0666667
815,maine,2001,486.4
840,maryland,2018,443.7333333
841,maryland,2017,456.5333333
842,maryland,2016,460.8
843,maryland,2015,456.5333333
844,maryland,2014,458.6666667
845,maryland,2013,465.0666667
846,maryland,2012,471.4666667
847,maryland,2011,467.2
848,maryland,2010,471.4666667
849,maryland,2009,467.2
850,maryland,2008,467.2
851,maryland,2007,469.3333333
852,maryland,2006,465.0666667
853,maryland,2005,460.8
854,maryland,2004,458.6666667
855,maryland,2003,452.2666667
856,maryland,2002,452.2666667
857,maryland,2001,450.1333333
882,massachusetts,2018,544
883,massachusetts,2017,550.4
884,massachusetts,2016,546.1333333
885,massachusetts,2015,537.6
886,massachusetts,2014,541.8666667
887,massachusetts,2013,544
888,massachusetts,2012,546.1333333
889,massachusetts,2011,541.8666667
890,massachusetts,2010,533.3333333
891,massachusetts,2009,531.2
892,massachusetts,2008,541.8666667
893,massachusetts,2007,552.5333333
894,massachusetts,2006,546.1333333
895,massachusetts,2005,535.4666667
896,massachusetts,2004,537.6
897,massachusetts,2003,531.2
898,massachusetts,2002,526.9333333
899,massachusetts,2001,520.5333333
924,michigan,2018,503.4666667
925,michigan,2017,499.2
926,michigan,2016,499.2
927,michigan,2015,477.8666667
928,michigan,2014,494.9333333
929,michigan,2013,475.7333333
930,michigan,2012,484.2666667
931,michigan,2011,480
932,michigan,2010,475.7333333
933,michigan,2009,475.7333333
934,michigan,2008,473.6
935,michigan,2007,467.2
936,michigan,2006,465.0666667
937,michigan,2005,460.8
938,michigan,2004,458.6666667
939,michigan,2003,462.9333333
940,michigan,2002,454.4
941,michigan,2001,445.8666667
966,minnesota,2018,595.2
967,minnesota,2017,590.9333333
968,minnesota,2016,590.9333333
969,minnesota,2015,582.4
970,minnesota,2014,599.4666667
971,minnesota,2013,582.4
972,minnesota,2012,578.1333333
973,minnesota,2011,526.9333333
974,minnesota,2010,520.5333333
975,minnesota,2009,552.5333333
976,minnesota,2008,554.6666667
977,minnesota,2007,554.6666667
978,minnesota,2006,512
979,minnesota,2005,529.0666667
980,minnesota,2004,533.3333333
981,minnesota,2003,518.4
982,minnesota,2002,514.1333333
983,minnesota,2001,509.8666667
1008,mississippi,2018,462.9333333
1009,mississippi,2017,469.3333333
1010,mississippi,2016,475.7333333
1011,mississippi,2015,477.8666667
1012,mississippi,2014,477.8666667
1013,mississippi,2013,480
1014,mississippi,2012,477.8666667
1015,mississippi,2011,473.6
1016,mississippi,2010,473.6
1017,mississippi,2009,482.1333333
1018,mississippi,2008,486.4
