,state,year,number_of_drinks_total
2189,midwest region,2013,499.2
2190,midwest region,2012,501.3333333
2191,midwest region,2011,492.8
2192,midwest region,2010,490.6666667
2193,midwest region,2009,494.9333333
2194,midwest region,2008,497.0666667
2195,midwest region,2007,494.9333333
2196,midwest region,2006,484.2666667
2197,midwest region,2005,480
2198,midwest region,2004,473.6
2199,midwest region,2003,475.7333333
2200,midwest region,2002,467.2
2201,midwest region,2001,462.9333333
2226,south region,2018,475.7333333
2227,south region,2017,482.1333333
2228,south region,2016,484.2666667
2229,south region,2015,477.8666667
2230,south region,2014,473.6
2231,south region,2013,477.8666667
2232,south region,2012,480
2233,south region,2011,471.4666667
2234,south region,2010,467.2
2235,south region,2009,471.4666667
2236,south region,2008,475.7333333
2237,south region,2007,477.8666667
2238,south region,2006,475.7333333
2239,south region,2005,469.3333333
2240,south region,2004,467.2
2241,south region,2003,465.0666667
2242,south region,2002,460.8
2243,south region,2001,456.5333333
2268,west region,2018,533.3333333
2269,west region,2017,514.1333333
2270,west region,2016,518.4
2271,west region,2015,507.7333333
2272,west region,2014,516.2666667
2273,west region,2013,514.1333333
2274,west region,2012,518.4
2275,west region,2011,503.4666667
2276,west region,2010,492.8
2277,west region,2009,507.7333333
2278,west region,2008,516.2666667
2279,west region,2007,516.2666667
2280,west region,2006,512
2281,west region,2005,503.4666667
2282,west region,2004,501.3333333
2283,west region,2003,494.9333333
2284,west region,2002,490.6666667
2285,west region,2001,490.6666667
2310,us total,2018,501.3333333
2311,us total,2017,501.3333333
2312,us total,2016,501.3333333
2313,us total,2015,497.0666667
2314,us total,2014,494.9333333
2315,us total,2013,497.0666667
2316,us total,2012,499.2
2317,us total,2011,488.5333333
2318,us total,2010,482.1333333
2319,us total,2009,488.5333333
2320,us total,2008,492.8
2321,us total,2007,492.8
2322,us total,2006,486.4
2323,us total,2005,480
2324,us total,2004,477.8666667
2325,us total,2003,473.6
2326,us total,2002,469.3333333
2327,us total,2001,465.0666667
