,state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
100,arizona,2002,346.0740740740741,65.48837209302324,143.2603406326034,529.0666666666667
101,arizona,2001,348.44444444444434,65.48837209302324,145.33657745336578,533.3333333333334
102,arizona,2000,350.81481481481484,61.51937984496124,147.41281427412815,533.3333333333334
126,arkansas,2018,213.33333333333331,45.64341085271318,132.87915652879158,379.73333333333335
127,arkansas,2017,218.0740740740741,45.64341085271318,139.10786699107868,388.2666666666667
128,arkansas,2016,220.44444444444446,43.65891472868218,134.95539334955393,384.0
129,arkansas,2015,229.92592592592598,43.65891472868218,134.95539334955393,390.4
130,arkansas,2014,227.55555555555557,41.67441860465117,128.72668288726683,381.86666666666673
131,arkansas,2013,237.03703703703704,39.689922480620154,124.5742092457421,384.0
132,arkansas,2012,237.03703703703704,39.689922480620154,124.5742092457421,384.0
133,arkansas,2011,229.92592592592598,35.72093023255813,116.26926196269262,366.9333333333333
134,arkansas,2010,246.51851851851856,33.73643410852713,122.49797242497972,384.0
135,arkansas,2009,251.2592592592593,33.73643410852713,122.49797242497972,388.2666666666667
136,arkansas,2008,258.3703703703704,33.73643410852713,122.49797242497972,396.8
137,arkansas,2007,248.88888888888889,33.73643410852713,122.49797242497972,386.1333333333334
138,arkansas,2006,248.88888888888889,31.751937984496127,122.49797242497972,384.0
139,arkansas,2005,246.51851851851856,31.751937984496127,120.42173560421736,379.73333333333335
140,arkansas,2004,256.00000000000006,29.767441860465123,120.42173560421736,386.1333333333334
141,arkansas,2003,251.2592592592593,27.78294573643411,116.26926196269262,377.6
142,arkansas,2002,258.3703703703704,27.78294573643411,110.04055150040553,373.33333333333337
143,arkansas,2001,256.00000000000006,25.7984496124031,110.04055150040553,371.2
144,arkansas,2000,258.3703703703704,23.813953488372093,110.04055150040553,371.2
168,california,2018,237.03703703703704,123.03875968992249,180.6326034063261,531.1999999999998
169,california,2017,222.8148148148148,115.10077519379844,161.94647201946472,492.8
170,california,2016,227.55555555555557,119.06976744186045,161.94647201946472,499.2
171,california,2015,237.03703703703704,105.1782945736434,155.71776155717762,486.40000000000015
172,california,2014,237.03703703703704,119.06976744186045,151.56528791565287,497.06666666666666
173,california,2013,232.2962962962963,119.06976744186045,155.71776155717762,497.06666666666666
174,california,2012,234.66666666666663,125.02325581395347,153.64152473641525,501.33333333333326
175,california,2011,225.1851851851852,115.10077519379844,149.48905109489053,480.0
176,california,2010,229.92592592592598,97.24031007751935,147.41281427412815,460.80000000000007
177,california,2009,239.40740740740745,113.11627906976746,145.33657745336578,486.40000000000015
178,california,2008,248.88888888888889,109.14728682170544,145.33657745336578,490.6666666666666
179,california,2007,251.2592592592593,107.16279069767442,145.33657745336578,490.6666666666666
180,california,2006,241.77777777777783,111.13178294573645,145.33657745336578,488.53333333333336
181,california,2005,244.14814814814812,107.16279069767442,143.2603406326034,482.1333333333334
182,california,2004,253.62962962962962,103.1937984496124,139.10786699107868,480.0
183,california,2003,253.62962962962962,101.2093023255814,134.95539334955393,475.73333333333335
184,california,2002,256.00000000000006,97.24031007751935,132.87915652879158,471.4666666666667
185,california,2001,258.3703703703704,95.25581395348837,130.8029197080292,469.33333333333337
186,california,2000,265.4814814814815,95.25581395348837,132.87915652879158,477.86666666666673
210,colorado,2018,270.22222222222223,103.1937984496124,255.37712895377132,614.4
211,colorado,2017,270.22222222222223,101.2093023255814,247.0721816707219,605.8666666666667
212,colorado,2016,270.22222222222223,101.2093023255814,240.84347120843475,601.6
213,colorado,2015,265.4814814814815,101.2093023255814,236.69099756691003,590.9333333333334
214,colorado,2014,270.22222222222223,101.2093023255814,230.46228710462293,590.9333333333334
215,colorado,2013,284.4444444444445,99.22480620155036,230.46228710462293,599.4666666666667
216,colorado,2012,272.5925925925927,103.1937984496124,224.2335766423358,588.8000000000002
217,colorado,2011,284.4444444444445,97.24031007751935,215.9286293592863,580.2666666666668
218,colorado,2010,289.1851851851852,95.25581395348837,209.6999188969992,578.1333333333333
219,colorado,2009,291.5555555555556,91.28682170542636,209.6999188969992,576.0000000000001
220,colorado,2008,303.40740740740745,93.27131782945736,211.77615571776158,590.9333333333334
221,colorado,2007,308.1481481481481,93.27131782945736,209.6999188969992,593.0666666666667
222,colorado,2006,305.77777777777777,89.30232558139534,203.4712084347121,580.2666666666668
223,colorado,2005,310.5185185185185,83.34883720930233,205.54744525547449,580.2666666666668
